GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Emissary,emissary.transform.decode,JavascriptEscape,58,88,11,13,14,13,9,5,1,1
Emissary,emissary.transform.decode,JsonEscape,60,214,13,35,16,34,12,15,1,2
Emissary,emissary.transform.decode,HtmlEscape,127,555,27,105,36,125,23,55,1,11
Emissary,emissary.jni,JniRepositoryPlace,321,0,44,0,70,0,33,0,11,0
Emissary,emissary.jni,JNI,824,0,74,0,204,0,51,0,14,0
Emissary,emissary.core.sentinel,Sentinel.Tracker,0,124,1,5,0,38,1,18,0,16
Emissary,emissary.core.sentinel,Sentinel,162,137,14,6,46,40,14,9,5,8
Emissary,emissary.analyze,Analyzer,95,0,8,0,27,0,11,0,7,0
Emissary,emissary.metrics,AgentsEmitter,35,0,0,0,11,0,7,0,7,0
Emissary,emissary.admin,PlaceStarter,133,177,12,10,33,51,11,11,1,10
Emissary,emissary.admin,Startup,736,365,96,26,164,97,73,18,14,16
Emissary,emissary.util.web,HttpPostParameters,23,92,0,4,5,23,1,9,1,7
Emissary,emissary.util.web,UrlRequestProperty,39,12,0,0,15,5,8,2,8,2
Emissary,emissary.util.web,HtmlEscaper,1,71,0,8,1,17,0,7,0,3
Emissary,emissary.util.web,Url,211,112,24,10,50,27,17,10,3,7
Emissary,emissary.util.web,UrlData,76,157,7,15,12,53,8,31,4,24
Emissary,emissary.core.channels,BufferedChannelFactory.BufferedSeekableByteChannel,0,89,0,2,0,20,0,5,0,4
Emissary,emissary.core.channels,FileChannelFactory,0,6,0,0,0,1,0,1,0,1
Emissary,emissary.core.channels,ImmutableChannelFactory,0,5,0,0,0,1,0,1,0,1
Emissary,emissary.core.channels,FileChannelFactory.LazyFileChannelImpl,0,48,1,3,0,15,1,7,0,6
Emissary,emissary.core.channels,FillChannelFactory.FillChannelFactoryImpl,0,28,0,2,0,6,0,3,0,2
